skill,skill_name,invoke_name
B07KQTZDFM,Froggy 95.5,"Alexa, load froggy ninety five five"
B07J55Q4BN,MyRadar,"Alexa, load my radar"
B08B69TVSR,106.5 WSFL,"Alexa, load one oh six point five w. s. f. l."
B082LS5H1W,Kwikset Smart Home,"Alexa, lock door"
B076VWT4JK,Kevo Smart Home,"Alexa, lock front door"
B075LY9H6H,Key By Amazon,"Alexa, lock my front door."
B07Y8K18C5,TTLock,"Alexa, lock the door lock."
B089VJHBFR,Yale Access,"Alexa, lock the front door."
B07DQHNSK8,U-tec Smart Home,"Alexa, lock the front door."
B077K2TT1N,Nuki Smart Home,"Alexa, lock the front door.”"
B07F3861XD,MAGA,"Alexa, M. A. G. A.”"
B076GT9Y8X,Make Me Smile,"Alexa, make me smile."
B06ZZYZGP4,Mark Cuban Quotes,"Alexa, Mark Cuban Quote”"
B01GOSN706,Meow!,"Alexa, meow meow"
B072KW7SQR,Whirlpool Connected Appliances,"Alexa, microwave for 3 minutes"
B07XY514QS,Toshiba iMicrowave,"Alexa, microwave for 5 minutes."
B07HHFM8ZJ,Bose (not for SoundTouch),"Alexa, next track."
B07QVKKMCM,104.5 The Fox,"Alexa, open 104.5 The Fox."
B07C9KKW3Q,A Moment of Sanctuary,"Alexa, open A Moment of Sanctuary"
B075SNHRLQ,AM 740 KVOR,"Alexa, open a. m. seven fourty k. v. o. r."
B07VF4RPNT,Account Access,"Alexa, open Account Access"
B07BMHNXVN,AccuRadio,"Alexa, OPEN AccuRadio"
B07N69D4VH,"Adult Humor - Jokes, Satires and Compliments","Alexa, open Adult Humor"
B07ML4RD3X,Adventure Island,"Alexa, open Adventure Island”"
B07BS59W1Q,Age Smart,"Alexa, open age smart."
B06XYYRQ3R,Airplane Sounds by Sleep Jar®,"Alexa, open Airplane Sounds"
B081QD3B2N,Alertable,"Alexa, open Alertable."
B07F6K4M8N,All India Radio,"Alexa, open All India Radio"
B01N3MS7AV,Allrecipes,"Alexa, open all recipes”"
B08DKRV42Z,Amazing Chillhop,"Alexa, Open Amazing Chillhop"
B073X5FYVF,Amazon Storytime,"Alexa, open Amazon Storytime"
B0722MF852,Ambient Noise,"Alexa, open Ambient Noise"
B07CJ37YHB,Ambient Sounds,"Alexa, open Ambient Sounds"
B07QS82SXW,Ambient Visions - Relaxing Videos,"Alexa, open Ambient Visions"
B07F38RQS1,Guess the Animal: Animal Sounds Game,"Alexa, open animal game."
B075B2M9CN,Animal Sounds,"Alexa, open Animal Sounds"
B0765D7LGZ,Animal Sounds,"Alexa, open animal sounds."
B077Y6XNK2,Animal Workout,"Alexa, open Animal Workout"
B073B2KPXJ,Anxiety Disorder (GAD-7),"Alexa, open Anxiety Disorder"
B07G2J5GJF,Anxiety Stress,"Alexa, open anxiety stress"
B08XX4ZZ3Z,Apostles' Creed,"Alexa, open apostles creed"
B07FSMN447,Apostles' Creed (Symbol of the Apostles),"Alexa, open Apostles' Creed”"
B06XRZSMKW,April Fools Day Checker,"Alexa, open April Fools Day Checker"
B06XCWZLCN,April the Giraffe,"Alexa, open April the Giraffe"
B018F2YPL4,Guide for ARK,"Alexa, open ARK Guide."
B08Z4GPF37,Audi Financial Services,"Alexa, open Audi Financial Services."
B0758TH8KC,Avis,"Alexa, open Avis."
B01LWLCMGF,My BMW,"Alexa, open B.M.W."
B071VBDC31,Sleep Sounds: Babbling Brook,"Alexa, open Babbling Brook"
B06WWK5PG1,Babbling Brook by Sleep Jar®,"Alexa, open Babbling Brook"
B07F3XTJBL,Baby Animal Trivia,"Alexa, open Baby Animal Trivia"
B07FNHY4HJ,Relaxing Sounds : Baby Bedtime Lullaby,"Alexa, open Baby Bedtime Lullaby"
B075Q5M99J,Relaxing Sounds: Bamboo Flute,"Alexa, Open Bamboo Flute"
B07DXLC41M,Former US President Barack Obama's Latest Tweet,"Alexa, open barack obama's latest tweet"
B081DD8P2W,Barbie: You Can Be Anything,"Alexa, open Barbie”"
B075PTQJJN,NewsChest: Unofficial FC Barcelona news,"Alexa, open Barsa news"
B082GLQ12D,Beat Navy,"Alexa, open beat navy"
B072F3M1FN,Sleep Sounds: Beautiful Dream,"Alexa, open Beautiful Dream"
B07DMH6GDW,Beautiful Instrumentals Channel,"Alexa, Open Beautiful Instrumentals Channel"
B07DGVVQKR,Bedtime Prayers,"Alexa, open Bedtime Prayers"
B07PJ16S9V,Bedtime Stories,"Alexa, open Bedtime Stories"
B074WGJXQL,Short Bedtime Stories,"Alexa, open bedtime stories"
B01HAJ9HI4,Beer Bot,"Alexa, open Beer bot"
B0852YX1QN,Best Forest Sounds by Healing FM,"Alexa, open Best Forest Sounds”"
B072MW79HM,Bible Facts,"Alexa, open bible facts"
B07RLZNCFK,Bible in One Year,"Alexa, open Bible inOne Year"
B07ZTR3DV2,Big Bark,"Alexa, Open Big Bark"
B081RR3NK7,Big 8 Radio,"Alexa, open big eight radio"
B01GU4MBM4,Big Sky®,"Alexa, open Big Sky"
B07CN3LGDD,Bill Tracker,"Alexa, open bill tracker"
B01N3C6CJ2,Bin reminder,"Alexa, open Bin Reminder"
B018YJUQ3Y,BioRhythm,"Alexa, open BioRhythm."
B071KX1Q9M,Bird Sounds by Sleep Jar®,"Alexa, open Bird Sounds"
B01MA4QUQN,Bitcoin Exchange,"Alexa, open bitcoin exchange"
B01FGXT5A6,21 Blackjack,"Alexa, open black jack"
B08G8PGZTG,Black Lives Matter,"Alexa, open Black Lives Matter”"
B07RVD8T7X,Blizzard Sounds by Sleep Jar®,"Alexa, open Blizzard Sounds"
B075WCJ1MY,Sleep Sounds: Blizzard Sounds,"Alexa, open Blizzard Sounds"
B01KN51D16,Bloomberg,"Alexa, open Bloomberg."
B0746DVDH2,Blue Sky,"Alexa, open Blue Sky"
B07MJP27XH,Bluey Facts,"Alexa, open Bluey Facts"
B0847TWBKW,Boss Baby,"Alexa, open boss baby”"
B0841HVH5L,Box Fan,"Alexa, open Box Fan"
B0711DSH1T,Sleep Sounds: Box Fan Sounds,"Alexa, open Box Fan Sounds"
B08XLZ4C1V,Box of Cats Second Edition,"Alexa, open box of cats two"
B01N188I03,Bring! Shopping List,"Alexa, open Bring and add milk."
B07586HT1C,Brown Noise by Sleep Jar®,"Alexa, open Brown Noise"
B0713Z5TJG,Sleep Sounds: Brown Noise,"Alexa, open Brown Noise"
B07DKZ8DXZ,Bug Facts for Kids,"Alexa, open Bug Facts"
B07B4XGP4M,Burglar Deterrent,"Alexa, open Burglar Deterrent"
B08GYLS67C,Bye Donald,"Alexa, open bye donald"
B073SHBXL2,KIRO Radio 97.3 FM,"Alexa, open cairo radio"
B07G4B6WL4,Calm My Dog,"Alexa, open Calm My Dog"
B072KN2CQV,Calm Radio - Music to Super-Relax,"Alexa, open Calm Radio"
B07D71QXBP,Starship Captain's Log 2020,"Alexa, open captains log"
B071DWSSQL,Sleep Sounds: Car Ride,"Alexa, open Car Ride"
B017OBJI46,Cat Facts,"Alexa, open Cat Facts."
B071WTRBYR,Cat Sounds by Sleep Jar®,"Alexa, open Cat Sounds"
B079FPVGLC,Cat Translator,"Alexa, open cat translator."
B07JDKD6X7,Catechism - The Angelical Salutation,"Alexa, open catechism angelical salutation”"
